@relation LinearRegression
@attribute bias numeric
@attribute year numeric
@attribute Monona numeric
@attribute IceDays numeric

@data
1,1855,118,118
1,1856,151,151
1,1857,119,121
1,1858,94,96
1,1859,111,110
1,1860,129,117
1,1861,133,132
1,1862,119,104
1,1863,131,125
1,1864,117,118
1,1865,125,125
1,1866,128,123
1,1867,108,110
1,1868,126,127
1,1869,138,131
1,1870,100,99
1,1871,142,126
1,1872,141,144
1,1873,136,136
1,1874,123,126
1,1875,91,91
1,1876,132,130
1,1877,62,62
1,1878,115,112
1,1879,93,99
1,1880,160,161
1,1881,77,78
1,1882,127,124
1,1883,120,119
1,1884,121,124
1,1885,131,128
1,1886,131,131
1,1887,137,113
1,1888,87,88
1,1889,74,75
1,1890,113,111
1,1891,96,97
1,1892,117,112
1,1893,99,101
1,1894,104,101
1,1895,119,91
1,1896,123,110
1,1897,101,100
1,1898,129,130
1,1899,112,111
1,1900,118,107
1,1901,103,105
1,1902,85,89
1,1903,140,126
1,1904,111,108
1,1905,115,97
1,1906,106,94
1,1907,106,83
1,1908,118,106
1,1909,96,98
1,1910,103,101
1,1911,113,108
1,1912,104,99
1,1913,83,88
1,1914,115,115
1,1915,111,102
1,1916,116,116
1,1917,116,115
1,1918,83,82
1,1919,116,110
1,1920,85,81
1,1921,96,96
1,1922,127,125
1,1923,103,104
1,1924,103,105
1,1925,126,124
1,1926,102,103
1,1927,108,106
1,1928,96,96
1,1929,104,107
1,1930,98,98
1,1931,60,65
1,1932,107,115
1,1933,103,91
1,1934,98,94
1,1935,107,101
1,1936,0,0
1,1936,123,121
1,1937,111,105
1,1938,102,97
1,1939,102,105
1,1940,127,96
1,1941,85,82
1,1942,114,116
1,1943,101,114
1,1944,89,92
1,1945,99,98
1,1946,108,101
1,1947,108,104
1,1948,92,96
1,1949,113,109
1,1950,118,122
1,1951,112,114
1,1952,93,81
1,1953,72,85
1,1954,83,92
1,1955,109,114
1,1956,92,111
1,1957,109,95
1,1958,125,126
1,1959,101,105
1,1960,98,108
1,1961,113,117
1,1962,112,112
1,1963,92,113
1,1964,114,120
1,1965,65,65
1,1966,88,98
1,1967,87,91
1,1968,0,0
1,1968,101,108
1,1969,92,113
1,1970,93,110
